Institue2014,Institue2015,Institue2016,Institue2017,State
"Assam University, Silchar","Assam University, Silchar","Assam University, Silchar","Assam University, Silchar",Assam
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management, Gwalior",Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Madhya Pradesh
"Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi",Jharkhand
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar","Dr.  B R Ambedkar National Institute of Technology, Jalandhar","Dr. B R Ambedkar National Institute of Technology, Jalandhar","Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab
"Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand","Gurukula Kangri Vishwavidyalaya, Haridwar","Gurukula Kangri Vishwavidyalaya, Haridwar","Gurukula Kangri Vishwavidyalaya, Haridwar",Uttarakhand
"Indian Institute of Carpet Technology, Bhadohi","Indian Institute of Carpet Technology, Bhadohi","Indian Institute of Carpet Technology, Bhadohi",HNB Garhwal University Srinagar (Garhwal),Uttarakhand
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Indian Institute of Crop Processing Technology, Thanjavur, Tamilnadu","Indian Institute of Crop Processing Technology, Thanjavur, Tamilnadu","Indian Institute of Carpet Technology, Bhadohi",Uttar Pradesh
Indian Institute of Information Technology Guwahati,"Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur",West Bengal
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh","Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Indian Institute of Information Technology (IIIT) Nagpur,Indian Institute of Information Technology (IIIT) Nagpur,Maharashtra
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Indian Institute of Information Technology Guwahati,Indian Institute of Information Technology (IIIT) Pune,Indian Institute of Information Technology (IIIT) Pune,Maharashtra
"Indian Institute of Information Technology, Allahabad",Indian Institute of Information Technology Lucknow,Indian Institute of Information Technology (IIIT) Ranchi,Indian Institute of Information Technology (IIIT) Ranchi,Jharkhand
"Indian Institute of Information Technology, Design& Manufacturing, Kancheepuram",Indian Institute of Information Technology Manipur,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Rajasthan
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Indian Institute of Information Technology Srirangam, Tiruchirappalli","Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Indian Institute of Information Technology Bhagalpur,Bihar
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",Indian Institute of Information Technology(IIIT) Dharwad,Indian Institute of Information Technology Guwahati,Indian Institute of Information Technology Bhopal,Madhya Pradesh
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Indian Institute of Information Technology Lucknow,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Andhra Pradesh
Malaviya National Institute of Technology Jaipur,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Indian Institute of Information Technology Manipur,Indian Institute of Information Technology Guwahati,Assam
