Sl#,key,Institute,Branch,Course,Sub Category,State Quota,State,GE_CR,SC_CR,ST_CR,OBC_CR,Year
51,"Indian Institute of Carpet Technology, BhadohiDBHCTT4BFALSEOTHERSTATE","Indian Institute of Carpet Technology, Bhadohi",Carpet & Textile Technology,DBHCTT4B,FALSE,OTHERSTATE,UP,152121,299646,440545,234671,2014
52,"Indian Institute of Carpet Technology, BhadohiDBHCTT4BTRUEOTHERSTATE","Indian Institute of Carpet Technology, Bhadohi",Carpet & Textile Technology,DBHCTT4B,TRUE,OTHERSTATE,TR,579476,,,,2014
53,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLCHE4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Chemical Engineering \ Technology,DBLCHE4B,FALSE,OTHERSTATE,UP,135721,258920,379736,174211,2014
54,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLCIV4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Civil Engineering,DBLCIV4B,FALSE,OTHERSTATE,UP,80485,165980,231796,101119,2014
55,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLCSE4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Computer Science & Engineering,DBLCSE4B,FALSE,OTHERSTATE,UP,63941,246236,379806,119056,2014
56,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLCSE4BTRUEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Computer Science & Engineering,DBLCSE4B,TRUE,OTHERSTATE,UP,822746,34182,41768,25017,2014
57,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLECO4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Electronics & Communication,DBLECO4B,FALSE,OTHERSTATE,UP,79291,239436,345900,118428,2014
58,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLECO4BTRUEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Electronics & Communication,DBLECO4B,TRUE,OTHERSTATE,UP,281920,818474,,635096,2014
59,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLIPE4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Industrial and Production Engineering,DBLIPE4B,FALSE,OTHERSTATE,UP,182529,283912,443384,231914,2014
60,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLITY4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Information Technology,DBLITY4B,FALSE,OTHERSTATE,UP,119198,261723,410111,144010,2014
61,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLITY4BTRUEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Information Technology,DBLITY4B,TRUE,OTHERSTATE,UP,659528,,,,2014
62,"Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)DBLMEC4BFALSEOTHERSTATE","Institute of Technology, Guru Ghasidas Vishwa Vidhyalaya, Bilaspur(C.G)",Mechanical Engineering,DBLMEC4B,FALSE,OTHERSTATE,UP,57927,216695,247625,104588,2014
63,"School of Planning & Architecture, BhopalDBPARC5AFALSEOTHERSTATE","School of Planning & Architecture, Bhopal",Architecture,DBPARC5A,FALSE,OTHERSTATE,State,4031,24191,31522,18844,2014
64,"School of Planning & Architecture, BhopalDBPARC5ATRUEOTHERSTATE","School of Planning & Architecture, Bhopal",Architecture,DBPARC5A,TRUE,OTHERSTATE,UP,25761,633572,490320,367158,2014
65,"School of Planning & Architecture, BhopalDBPPLN5PFALSEOTHERSTATE","School of Planning & Architecture, Bhopal",Planning,DBPPLN5P,FALSE,OTHERSTATE,UP,10936,34182,41768,25017,2014
66,"School of Planning & Architecture, DelhiDDEARC5AFALSEOTHERSTATE","School of Planning & Architecture, Delhi",Architecture,DDEARC5A,FALSE,OTHERSTATE,UP,1061,12215,10612,4886,2014
67,"School of Planning & Architecture, DelhiDDEARC5ATRUEOTHERSTATE","School of Planning & Architecture, Delhi",Architecture,DDEARC5A,TRUE,OTHERSTATE,UP,4808,846543,700865,17508,2014
68,"School of Planning & Architecture, DelhiDDEPLN5PFALSEOTHERSTATE","School of Planning & Architecture, Delhi",Planning,DDEPLN5P,FALSE,OTHERSTATE,UP,3005,21294,38651,15215,2014
69,"Delhi Technical Campus, Bahadurgarh, HaryanaDDTCIV4BFALSEOTHERSTATE","Delhi Technical Campus, Bahadurgarh, Haryana",Civil Engineering,DDTCIV4B,FALSE,OTHERSTATE,AR,351607,522329,568497,,2014
70,"Delhi Technical Campus, Bahadurgarh, HaryanaDDTCSE4BFALSEOTHERSTATE","Delhi Technical Campus, Bahadurgarh, Haryana",Computer Science & Engineering,DDTCSE4B,FALSE,OTHERSTATE,AR,345811,753917,,385482,2014
71,"Delhi Technical Campus, Bahadurgarh, HaryanaDDTEEE4BFALSEOTHERSTATE","Delhi Technical Campus, Bahadurgarh, Haryana",Electrical & Electronics Engineering,DDTEEE4B,FALSE,OTHERSTATE,AR,281920,818474,511631,385688,2014
72,"Delhi Technical Campus, Bahadurgarh, HaryanaDDTECE4BFALSEOTHERSTATE","Delhi Technical Campus, Bahadurgarh, Haryana",Electronics & Communication Engg,DDTECE4B,FALSE,OTHERSTATE,AR,298065,801859,,,2014
73,"Delhi Technical Campus, Bahadurgarh, HaryanaDDTMEC4BFALSEOTHERSTATE","Delhi Technical Campus, Bahadurgarh, Haryana",Mechanical Engineering,DDTMEC4B,FALSE,OTHERSTATE,AR,336278,542072,123793,386334,2014
74,"National Institute of Foundary & Forge Technology, RanchiDFFMAN4BFALSEOTHERSTATE","National Institute of Foundary & Forge Technology, Ranchi",Manufacturing Engineering,DFFMAN4B,FALSE,OTHERSTATE,MP,78295,255167,392947,139676,2014
75,"National Institute of Foundary & Forge Technology, RanchiDFFMAN4BTRUEOTHERSTATE","National Institute of Foundary & Forge Technology, Ranchi",Manufacturing Engineering,DFFMAN4B,TRUE,OTHERSTATE,AR,519247,,534411,,2014
76,"National Institute of Foundary & Forge Technology, RanchiDFFMME4BFALSEOTHERSTATE","National Institute of Foundary & Forge Technology, Ranchi",Metallurgy and Materials Engineering,DFFMME4B,FALSE,OTHERSTATE,MP,72039,254683,311984,122801,2014
77,"National Institute of Foundary & Forge Technology, RanchiDFFMME4BTRUEOTHERSTATE","National Institute of Foundary & Forge Technology, Ranchi",Metallurgy and Materials Engineering,DFFMME4B,TRUE,OTHERSTATE,MP,718851,152053,364587,69190,2014
78,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHACSE4BFALSEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Computer Science & Engineering,DHACSE4B,FALSE,OTHERSTATE,MP,104079,299737,600543,205079,2014
79,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHACSE4BTRUEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Computer Science & Engineering,DHACSE4B,TRUE,OTHERSTATE,MP,633962,,,,2014
80,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHAELE4BFALSEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Electrical Engineering,DHAELE4B,FALSE,OTHERSTATE,MP,140934,281688,318339,194501,2014
81,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHAELE4BTRUEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Electrical Engineering,DHAELE4B,TRUE,OTHERSTATE,State,659009,,,373372,2014
82,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHAECE4BFALSEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Electronics & Communication Engineering,DHAECE4B,FALSE,OTHERSTATE,MP,177803,312918,451796,219296,2014
83,"Gurukula Kangri Vishwavidyalaya, Haridwar, UttarrakandDHAECE4BTRUEOTHERSTATE","Gurukula Kangri Vishwavidyalaya, Haridwar, Uttarrakand",Electronics & Communication Engineering,DHAECE4B,TRUE,OTHERSTATE,MP,551702,341054,451347,,2014
