KEY,INSTITUTE_NAME,BRANCH,Sub_Category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
828,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OS,6294,1038,355,2470,2015
829,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OS,3082,582,349,1243,2015
830,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,4763,1004,410,1983,2015
831,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,4971,834,423,1903,2015
832,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",FALSE,OS,7352,1543,70P,3173,2015
833,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",FALSE,OS,1664,489,210,1097,2015
834,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,1410,462,316,1094,2015
835,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OS,1934,387,109,1017,2015
836,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OS,59,21,22,46,2015
837,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,240,58,17,182,2015
838,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",FALSE,OS,1002,410,285,800,2015
839,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,654,159,64,350,2015
840,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",FALSE,OS,2637,931,604,1941,2015
841,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",FALSE,OS,4564,1523,747,2946,2015
842,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech.  in Communications and Signal Processing (5 Years, Bachelor
and Master of Technology (Dual Degree))",FALSE,OS,564,190,151,524,2015
843,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech.  in Microelectronics (5 Years, Bachelor and Master of Tech-
nology (Dual Degree))",FALSE,OS,373,173,131,382,2015
844,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech.  in Energy Systems Engineering (5 Years, Bachelor and Master
of Technology (Dual Degree))",FALSE,OS,2022,735,388,1535,2015
845,Indian Institute of Technology Bombay,"Engineering  Physics  and  M.Tech.   with  specialization  in  Nano  Science  (5  Years,  Bachelor  and
Master of Technology (Dual Degree))",FALSE,OS,1366,556,213,1337,2015
846,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech.  in Computer Integrated Manufacturing (5 Years, Bachelor
and Master of Technology (Dual Degree))",FALSE,OS,833,199,158,562,2015
847,Indian Institute of Technology Bombay,"Metallurgical  Engineering  and  Materials  Science  with  M.Tech.   in  Ceramics  and  Composites  (5
Years, Bachelor and Master of Technology (Dual Degree))",FALSE,OS,2861,968,617,2076,2015
848,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech.  in Metallurgical Process Engineer-
ing (5 Years, Bachelor and Master of Technology (Dual Degree))",FALSE,OS,2979,838,518,2238,2015
849,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OS,6313,1224,400,2610,2015
850,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OS,2805,875,515,1429,2015
851,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,5079,1116,480,2328,2015
852,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,5637,1140,507,2476,2015
853,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,3547,1156,634,2443,2015
854,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,1603,641,356,1174,2015
855,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OS,2181,356,71,1075,2015
856,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OS,102,31,19,75,2015
857,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,329,99,25,236,2015
858,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",FALSE,OS,874,313,107,559,2015
859,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",FALSE,OS,2233,918,395,1681,2015
860,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",FALSE,OS,441,302,255,362,2015
861,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OS,778,149,62,402,2015
862,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",FALSE,OS,1942,839,458,1440,2015
863,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",FALSE,OS,4706,1385,24P,2959,2015
864,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual
Degree))",FALSE,OS,4256,1395,702,2687,2015
865,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",FALSE,OS,2313,831,409,1671,2015
866,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",FALSE,OS,143,72,49,118,2015
867,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",FALSE,OS,543,355,434,528,2015
