id,Institute_name,Branch,Subcategory,State Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
2597,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,109928,12534,4758,36116,2016
2598,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,51940,8830,3025,16103,2016
2599,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,2267,,,,2016
2600,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,39443,7307,3127,12734,2016
2601,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,84673,10072,4146,31139,2016
2602,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1705,,,,2016
2603,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,41136,7576,1984,13120,2016
2604,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,84884,10581,3200,32047,2016
2605,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,2575,,,,2016
2606,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"B.Tech (Information Technology) and MBA /M.Tech (Information Technology) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",FALSE,OTHERSTATE,17860,5696,3600,7656,2016
2607,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"B.Tech (Information Technology) and MBA /M.Tech (Information Technology) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",TRUE,OTHERSTATE,783,,,459,2016
2608,"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",FALSE,OTHERSTATE,3407,454,118,,2016
2609,"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",FALSE,HOMESTATE,6481,598,908,,2016
2610,"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",TRUE,OTHERSTATE,78,,,,2016
2611,"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,51314,12336,9053,,2016
2612,"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,38909,7763,3889,,2016
2613,"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,516,,,,2016
2614,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,34514,9570,8219,,2016
2615,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,27742,6109,2940,,2016
2616,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,42527,11934,10507,,2016
2617,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,36412,7356,3817,,2016
2618,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,32871,6726,5381,,2016
2619,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,22068,4651,1810,,2016
2620,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,994,,,,2016
2621,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,907,,,,2016
2622,"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,12586,4696,3963,,2016
2623,"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,10162,3163,2152,,2016
2624,"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,1240,,,,2016
2625,"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,566,,,,2016
2626,"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,23475,8292,5335,,2016
2627,"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,18003,4783,1769,,2016
2628,"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,20400,8956,6779,,2016
2629,"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,15391,4741,2443,,2016
2630,"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1000,,,,2016
2631,"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,2144,,,,2016
2632,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,12676,4611,2575,,2016
2633,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,20307,7141,6858,,2016
2634,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,795,,,,2016
2635,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,287,,,,2016
2636,"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,18928,2570,1384,,2016
2637,"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,24802,7085,4475,,2016
2638,"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,37418,9734,9585,,2016
2639,"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33135,7460,3949,,2016
2640,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,32857,5718,3006,10911,2016
2641,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,63282,8091,,61021,2016
