Key,Institute_name,Branch,Sub_category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
4056,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,50145,9483,5724,15356,2017
4057,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,170061,20539,7607,56804,2017
4058,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,39015,8917,5003,13878,2017
4059,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,121222,16043,6408,48280,2017
4060,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,42024,8292,6584,14579,2017
4061,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,152214,19644,7671,53152,2017
4062,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,2643,,,,2017
4063,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,12736,3560,2652,5046,2017
4064,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,497,,,,2017
4065,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",FALSE,OTHERSTATE,17772,5830,5505,6718,2017
4066,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",TRUE,OTHERSTATE,770,,,632,2017
4067,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and M. Tech. /MBA)",FALSE,OTHERSTATE,22199,7284,6229,8662,2017
4068,"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",FALSE,HOMESTATE,6633,1193,1042,,2017
4069,"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",FALSE,OTHERSTATE,2194,471,249,,2017
4070,"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,49262,12414,17813,,2017
4071,"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,38651,8246,5966,,2017
4072,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,37996,11128,17752,,2017
4073,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,29510,6860,5400,,2017
4074,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,45921,12476,16301,,2017
4075,"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,36280,7414,6388,,2017
4076,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,33266,9037,8279,,2017
4077,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,26627,5352,3265,,2017
4078,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,2658,,,,2017
4079,"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,2298,,,,2017
4080,"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,12988,4558,6190,,2017
